"Délégation","Centre","typeAnimalobs","valeur"
"District Brest","CEI Brest","Amphibiens",1
"District Brest","CEI Brest","Écureuil",1
"District Brest","CEI Brest","chat",3
"District Brest","CEI Brest","RAPACE DIURNE",4
"District Brest","CEI Brest","chien",4
"District Brest","CEI Brest","Lapin",6
"District Brest","CEI Brest","RAPACE NOCTURNE",7
"District Brest","CEI Brest","cerf/biche",7
"District Brest","CEI Brest","chevreuil",8
"District Brest","CEI Brest","Hérisson",9
"District Brest","CEI Brest","Ragondin",12
"District Brest","CEI Brest","Mustélidés / rongeur",24
"District Brest","CEI Brest","Renard",26
"District Brest","CEI Brest","Blaireau",30
"District Brest","CEI Brest","Sanglier",31
"District Brest","CEI Brest","Oiseaux sauf Rapace",53
"District Brest","CEI Châteaulin","Écureuil",1
"District Brest","CEI Châteaulin","Lièvre",3
"District Brest","CEI Châteaulin","Lapin",4
"District Brest","CEI Châteaulin","cerf/biche",4
"District Brest","CEI Châteaulin","chat",5
"District Brest","CEI Châteaulin","Ragondin",7
"District Brest","CEI Châteaulin","RAPACE DIURNE",9
"District Brest","CEI Châteaulin","Hérisson",14
"District Brest","CEI Châteaulin","RAPACE NOCTURNE",19
"District Brest","CEI Châteaulin","chevreuil",24
"District Brest","CEI Châteaulin","Sanglier",25
"District Brest","CEI Châteaulin","Blaireau",36
"District Brest","CEI Châteaulin","Mustélidés / rongeur",47
"District Brest","CEI Châteaulin","Renard",47
"District Brest","CEI Châteaulin","Oiseaux sauf Rapace",63
"District Brest","CEI Châteauneuf-du-Faou","chien",1
"District Brest","CEI Châteauneuf-du-Faou","Ragondin",3
"District Brest","CEI Châteauneuf-du-Faou","RAPACE DIURNE",5
"District Brest","CEI Châteauneuf-du-Faou","chat",5
"District Brest","CEI Châteauneuf-du-Faou","Lapin",6
"District Brest","CEI Châteauneuf-du-Faou","Sanglier",7
"District Brest","CEI Châteauneuf-du-Faou","Lièvre",10
"District Brest","CEI Châteauneuf-du-Faou","RAPACE NOCTURNE",11
"District Brest","CEI Châteauneuf-du-Faou","Mustélidés / rongeur",13
"District Brest","CEI Châteauneuf-du-Faou","Oiseaux sauf Rapace",13
"District Brest","CEI Châteauneuf-du-Faou","chevreuil",14
"District Brest","CEI Châteauneuf-du-Faou","Blaireau",24
"District Brest","CEI Châteauneuf-du-Faou","Renard",28
"District Brest","CEI Melgven","Amphibiens",1
"District Brest","CEI Melgven","Lièvre",1
"District Brest","CEI Melgven","Loutre",2
"District Brest","CEI Melgven","chien",2
"District Brest","CEI Melgven","Ragondin",5
"District Brest","CEI Melgven","chat",5
